Temperature (ḞC),Humidity (%),Paper Sensor Value
24.90,43.00,205
24.90,43.00,149
24.90,42.00,0
24.80,42.00,204
24.80,42.00,0
24.90,42.00,114
24.80,42.00,161
24.80,42.00,0
24.80,43.00,181
24.80,43.00,0
24.80,43.00,75
24.80,43.00,223
24.80,43.00,0
24.80,43.00,246
24.80,43.00,0
24.90,44.00,19
24.90,44.00,221
24.90,44.00,0
25.10,44.00,232
25.30,45.00,21
25.30,45.00,5
25.30,46.00,220
25.30,46.00,0
25.30,47.00,231
25.30,47.00,120
25.30,48.00,0
25.30,49.00,223
25.30,49.00,0
25.30,51.00,48
25.30,53.00,219
25.30,54.00,0
25.30,58.00,234
25.30,62.00,143
25.30,65.00,0
25.30,69.00,226
25.80,72.00,0
25.80,75.00,100
25.80,78.00,178
26.20,81.00,0
26.20,85.00,173
26.70,88.00,78
26.70,90.00,23
27.10,92.00,73
27.10,93.00,0
27.60,94.00,18
27.60,96.00,46
27.60,96.00,0
27.60,97.00,20
28.00,96.00,33
27.70,98.00,0
27.60,98.00,21
27.60,98.00,18
27.60,98.00,0
27.60,98.00,26
27.20,98.00,7
27.10,98.00,4
27.10,98.00,0
26.70,98.00,3
26.70,98.00,15
26.70,98.00,0
26.20,97.00,8
26.20,96.00,18
26.20,96.00,0
26.20,96.00,10
26.20,95.00,18
26.20,94.00,0
25.80,94.00,13
25.80,93.00,22
25.80,93.00,0
25.80,92.00,25
25.80,91.00,18
25.80,90.00,0
25.80,89.00,69
25.80,89.00,26
25.80,88.00,0
25.80,86.00,128
25.80,85.00,9
25.80,85.00,0
25.40,83.00,131
25.30,81.00,0
25.30,81.00,0
25.30,80.00,132
25.30,79.00,0
25.30,77.00,0
25.30,77.00,128
25.30,75.00,0
25.30,74.00,0
25.30,73.00,129
25.30,72.00,0
25.30,71.00,0
25.30,70.00,130
25.30,69.00,12
25.30,69.00,0
25.30,67.00,130
25.30,66.00,0
25.30,64.00,0
25.30,63.00,123
25.30,62.00,0
25.30,61.00,81
25.30,60.00,119
25.30,59.00,0
25.30,58.00,126
25.30,57.00,7
25.30,56.00,0
25.30,55.00,123
25.30,54.00,0
25.30,54.00,115
25.10,53.00,107
24.90,52.00,0
24.90,52.00,130
24.80,51.00,0
24.80,51.00,54
24.80,50.00,118
24.80,50.00,0
24.80,49.00,130
24.80,49.00,0
24.80,49.00,7
24.80,48.00,123
24.80,48.00,0
24.80,48.00,133
24.80,48.00,31
24.80,48.00,0
24.80,47.00,122
24.80,47.00,0
24.80,47.00,131
24.80,47.00,0
24.80,47.00,129
24.80,46.00,53
24.80,46.00,0
24.80,46.00,120
24.80,46.00,0
24.80,46.00,128
24.80,46.00,0
24.80,45.00,132
24.80,45.00,70
24.80,45.00,0
24.80,45.00,124
24.80,45.00,0
24.80,45.00,133
24.80,45.00,0
24.80,45.00,55
24.80,44.00,105
24.80,44.00,0
